transaction_id,date,season,asset_type,player_id,player_name,from_team_id,from_team_name,to_team_id,to_team_name,notes
1970-0068,1969-10-19,1969-70,player,67084,Samuel Williams,,Milwaukee Bucks,,Los Angeles Lakers,
1970-0068,1969-10-19,1969-70,cash,,,,Los Angeles Lakers,,Milwaukee Bucks,cash
1977-0014,1977-06-09,1976-77,player,65844,John Johnson,,Houston Rockets,,Boston Celtics,
1977-0014,1977-06-09,1976-77,pick,,,,Boston Celtics,,Houston Rockets,1977 2nd round pick
1977-0014,1977-06-09,1976-77,pick,,,,Boston Celtics,,Houston Rockets,1978 2nd round pick
1977-0443,1976-09-02,1976-77,player,65887,Sidney Wicks,,Portland Trail Blazers,,New Orleans Jazz,
1977-0443,1976-09-02,1976-77,cash,,,,New Orleans Jazz,,Portland Trail Blazers,cash
1993-0006,,1992-93,draft_rights,840,Chris Webber,,Orlando Magic,,Golden State Warriors,
1993-0006,,1992-93,draft_rights,980,Penny Hardaway,,Golden State Warriors,,Orlando Magic,
1993-0006,,1992-93,pick,,,,Golden State Warriors,,Orlando Magic,1996 1st round pick (GOS own)
1993-0006,,1992-93,pick,,,,Golden State Warriors,,Orlando Magic,1998 1st round pick (GOS own)
1993-0006,,1992-93,pick,,,,Golden State Warriors,,Orlando Magic,2000 1st round pick (GOS own)
1993-0635,1992-07-02,1992-93,player,41413,Greg Kite,,Orlando Magic,,Houston Rockets,
1993-0635,1992-07-02,1992-93,pick,,,,Houston Rockets,,Orlando Magic,1993 2nd round pick
1993-0635,1992-07-02,1992-93,pick,,,,Houston Rockets,,Orlando Magic,1996 2nd round pick
1994-0136,1994-02-16,1993-94,player,723,Olden Polynice,,Detroit Pistons,,Sacramento Kings,
1994-0136,1994-02-16,1993-94,player,3178,David Wood,,Detroit Pistons,,Sacramento Kings,
1994-0136,1994-02-16,1993-94,player,1281,Duane Causwell,,Sacramento Kings,,Detroit Pistons,
1994-0136,1994-02-16,1993-94,pick,,,,Sacramento Kings,,Detroit Pistons,1994 2nd round pick
1994-0136,1994-02-16,1993-94,pick,,,,Sacramento Kings,,Detroit Pistons,1995 2nd round pick
1994-0136,1994-02-16,1993-94,pick,,,,Sacramento Kings,,Detroit Pistons,1996 2nd round pick
1994-0157,1994-02-04,1993-94,player,1309,Sean Elliott,,Detroit Pistons,,Houston Rockets,
1994-0157,1994-02-04,1993-94,player,1230,Matt Bullard,,Houston Rockets,,Detroit Pistons,
1994-0157,1994-02-04,1993-94,player,267,Robert Horry,,Houston Rockets,,Detroit Pistons,
1996-0447,1995-10-18,1995-96,player,833,Victor Alexander,,Toronto Raptors,,Cleveland Cavaliers,
1996-0447,1995-10-18,1995-96,player,1421,Harold Miner,,Cleveland Cavaliers,,Toronto Raptors,
1996-0447,1995-10-18,1995-96,pick,,,,Cleveland Cavaliers,,Toronto Raptors,1996 2nd round pick
1996-0447,1995-10-18,1995-96,cash,,,,Cleveland Cavaliers,,Toronto Raptors,cash
1997-0014,1997-06-20,1996-97,player,1378,Dino Radja,,Boston Celtics,,Philadelphia Sixers,
1997-0014,1997-06-20,1996-97,player,1354,Michael Cage,,Philadelphia Sixers,,Boston Celtics,
1997-0014,1997-06-20,1996-97,player,1015,Clarence Weatherspoon,,Philadelphia Sixers,,Boston Celtics,
1998-0184,1998-02-16,1997-98,player,1318,Rony Seikaly,,Orlando Magic,,Utah Jazz,
1998-0184,1998-02-16,1997-98,player,1024,Greg Foster,,Utah Jazz,,Orlando Magic,
1998-0184,1998-02-16,1997-98,player,1459,Chris Morris,,Utah Jazz,,Orlando Magic,
1998-0184,1998-02-16,1997-98,pick,,,,Utah Jazz,,Orlando Magic,1998 1st round pick
1998-0565,1997-10-09,1997-98,player,617,John Wallace,,New York Knicks,,Toronto Raptors,
1998-0565,1997-10-09,1997-98,pick,,,,New York Knicks,,Portland Trail Blazers,1998 1st round pick (NYK own)
1998-0565,1997-10-09,1997-98,pick,,,,Toronto Raptors,,Portland Trail Blazers,conditional 2007 2nd round pick (TOR own)
1998-0565,1997-10-09,1997-98,player,994,Chris Dudley,,Portland Trail Blazers,,New York Knicks,
1998-0565,1997-10-09,1997-98,pick,,,,Toronto Raptors,,New York Knicks,conditional 1998 1st round pick (TOR own)
1998-0679,1997-09-29,1997-98,player,624,Priest Lauderdale,,Atlanta Hawks,,Denver Nuggets,
1998-0679,1997-09-29,1997-98,draft_rights,440,Efthimios Rentzias,,Denver Nuggets,,Atlanta Hawks,
1998-0679,1997-09-29,1997-98,pick,,,,Denver Nuggets,,Atlanta Hawks,2000 2nd round pick (DEN own)
1999-0012,,1998-99,draft_rights,1334,Roberto Bergersen,,Atlanta Hawks,,Portland Trail Blazers,
1999-0012,,1998-99,cash,,,,Portland Trail Blazers,,Atlanta Hawks,cash
1999-0013,,1998-99,draft_rights,1329,Louis Bullock,,Minnesota Timberwolves,,Orlando Magic,
1999-0013,,1998-99,cash,,,,Orlando Magic,,Minnesota Timberwolves,cash
1999-0014,,1998-99,draft_rights,560,Leon Smith,,San Antonio Spurs,,Dallas Mavericks,
1999-0014,,1998-99,draft_rights,991,Gordan Giricek,,Dallas Mavericks,,San Antonio Spurs,
1999-0014,,1998-99,pick,,,,Dallas Mavericks,,San Antonio Spurs,2000 2nd round pick (DAL own)
1999-0015,,1998-99,draft_rights,559,Jumaine Jones,,Atlanta Hawks,,Philadelphia Sixers,
1999-0015,,1998-99,pick,,,,Philadelphia Sixers,,Atlanta Hawks,conditional 1998 1st round pick (TOR own)
1999-0016,,1998-99,draft_rights,245,Jeff Foster,,Golden State Warriors,,Indiana Pacers,
1999-0016,,1998-99,draft_rights,557,Vonteego Cummings,,Indiana Pacers,,Golden State Warriors,
1999-0016,,1998-99,pick,,,,Indiana Pacers,,Golden State Warriors,conditional 2001 1st round pick (IND own)
1999-0017,,1998-99,player,985,Horace Grant,,Orlando Magic,,Seattle SuperSonics,
1999-0017,,1998-99,pick,,,,Orlando Magic,,Seattle SuperSonics,2000 2nd round pick (ORL own)
1999-0017,,1998-99,pick,,,,Orlando Magic,,Seattle SuperSonics,2001 2nd round pick (ORL own)
1999-0017,,1998-99,player,1283,Dale Ellis,,Seattle SuperSonics,,Orlando Magic,
1999-0017,,1998-99,player,1260,Don MacLean,,Seattle SuperSonics,,Orlando Magic,
1999-0017,,1998-99,player,729,Billy Owens,,Seattle SuperSonics,,Orlando Magic,
1999-0017,,1998-99,draft_rights,550,Corey Maggette,,Seattle SuperSonics,,Orlando Magic,
1999-0022,1999-06-29,1998-99,player,1213,Mookie Blaylock,,Atlanta Hawks,,Golden State Warriors,
1999-0022,1999-06-29,1998-99,pick,,,,Atlanta Hawks,,Golden State Warriors,1999 1st round pick (ATL own)
1999-0022,1999-06-29,1998-99,player,971,Bimbo Coles,,Golden State Warriors,,Atlanta Hawks,
1999-0022,1999-06-29,1998-99,player,1381,Duane Ferrell,,Golden State Warriors,,Atlanta Hawks,
1999-0022,1999-06-29,1998-99,pick,,,,Golden State Warriors,,Atlanta Hawks,1999 1st round pick (GOS own)
1999-0164,1999-03-12,1998-99,player,1286,Sam Mack,,Vancouver Grizzlies,,Houston Rockets,
1999-0164,1999-03-12,1998-99,player,600,Rodrick Rhodes,,Houston Rockets,,Vancouver Grizzlies,
1999-0165,1999-03-12,1998-99,player,1228,Terrell Brandon,,Milwaukee Bucks,,Minnesota Timberwolves,
1999-0165,1999-03-12,1998-99,player,623,Brian Evans,,New Jersey Nets,,Minnesota Timberwolves,
1999-0165,1999-03-12,1998-99,pick,,,,New Jersey Nets,,Minnesota Timberwolves,1999 1st round pick (NJN own)
1999-0165,1999-03-12,1998-99,player,599,Paul Grant,,Minnesota Timberwolves,,Milwaukee Bucks,
1999-0165,1999-03-12,1998-99,player,913,Sam Cassell,,New Jersey Nets,,Milwaukee Bucks,
1999-0165,1999-03-12,1998-99,player,1245,Chris Gatling,,New Jersey Nets,,Milwaukee Bucks,
1999-0165,1999-03-12,1998-99,player,1199,Chris Carr,,Minnesota Timberwolves,,New Jersey Nets,
1999-0165,1999-03-12,1998-99,player,1207,Bill Curley,,Minnesota Timberwolves,,New Jersey Nets,
1999-0165,1999-03-12,1998-99,player,326,Stephon Marbury,,Minnesota Timberwolves,,New Jersey Nets,
1999-0165,1999-03-12,1998-99,player,1280,Elliot Perry,,Milwaukee Bucks,,New Jersey Nets,
1999-0165,1999-03-12,1998-99,trade_exception,,,,,,Milwaukee Bucks,trade exception
1999-0165,1999-03-12,1998-99,trade_exception,,,,,,New Jersey Nets,trade exception
1999-0166,1999-03-12,1998-99,player,1169,Tyrone Hill,,Milwaukee Bucks,,Philadelphia Sixers,
1999-0166,1999-03-12,1998-99,player,1185,Jerald Honeycutt,,Milwaukee Bucks,,Philadelphia Sixers,
1999-0166,1999-03-12,1998-99,player,586,Tim Thomas,,Philadelphia Sixers,,Milwaukee Bucks,
1999-0166,1999-03-12,1998-99,player,705,Scott Williams,,Philadelphia Sixers,,Milwaukee Bucks,
1999-0166,1999-03-12,1998-99,trade_exception,,,,Philadelphia Sixers,,Milwaukee Bucks,trade exception
1999-0167,1999-03-12,1998-99,draft_rights,574,Mirsad Turkcan,,Philadelphia Sixers,,New York Knicks,
1999-0167,1999-03-12,1998-99,pick,,,,New York Knicks,,Philadelphia Sixers,conditional 1998 1st round pick (TOR own)
1999-0168,1999-03-12,1998-99,player,612,Vitaly Potapenko,,Cleveland Cavaliers,,Boston Celtics,
1999-0168,1999-03-12,1998-99,player,1070,Andrew DeClercq,,Boston Celtics,,Cleveland Cavaliers,
1999-0168,1999-03-12,1998-99,pick,,,,Boston Celtics,,Cleveland Cavaliers,1999 1st round pick (BOS own)
1999-0172,1999-03-10,1998-99,player,838,Elden Campbell,,Los Angeles Lakers,,Charlotte Hornets (1988),
1999-0172,1999-03-10,1998-99,player,300,Eddie Jones,,Los Angeles Lakers,,Charlotte Hornets (1988),
1999-0172,1999-03-10,1998-99,player,1373,B.J. Armstrong,,Charlotte Hornets (1988),,Los Angeles Lakers,
1999-0172,1999-03-10,1998-99,player,1206,J.R. Reid,,Charlotte Hornets (1988),,Los Angeles Lakers,
1999-0172,1999-03-10,1998-99,player,1044,Glen Rice,,Charlotte Hornets (1988),,Los Angeles Lakers,
1999-0300,1999-02-04,1998-99,player,611,Todd Fuller,,Golden State Warriors,,Utah Jazz,
1999-0300,1999-02-04,1998-99,pick,,,,Utah Jazz,,Golden State Warriors,2000 2nd round pick (UTH own)
1999-0300,1999-02-04,1998-99,trade_exception,,,,Utah Jazz,,Golden State Warriors,trade exception
1999-0507,1999-01-23,1998-99,player,1041,Luc Longley,,Chicago Bulls,,Phoenix Suns,
1999-0507,1999-01-23,1998-99,player,943,Mark Bryant,,Phoenix Suns,,Chicago Bulls,
1999-0507,1999-01-23,1998-99,player,622,Martin Muursepp,,Phoenix Suns,,Chicago Bulls,
1999-0507,1999-01-23,1998-99,player,1403,Bubba Wells,,Phoenix Suns,,Chicago Bulls,
1999-0507,1999-01-23,1998-99,pick,,,,Phoenix Suns,,Chicago Bulls,1999 1st round pick (PHX own)
1999-0563,1999-01-22,1998-99,player,855,Christian Laettner,,Atlanta Hawks,,Detroit Pistons,
1999-0563,1999-01-22,1998-99,player,598,Scot Pollard,,Detroit Pistons,,Atlanta Hawks,
1999-0563,1999-01-22,1998-99,pick,,,,Detroit Pistons,,Atlanta Hawks,conditional 1999 1st round pick (POR own)
1999-0563,1999-01-22,1998-99,trade_exception,,,,Detroit Pistons,,Atlanta Hawks,trade exception
1999-0583,1999-01-22,1998-99,player,987,Andrew Lang,,Milwaukee Bucks,,Chicago Bulls,
1999-0583,1999-01-22,1998-99,pick,,,,Chicago Bulls,,Milwaukee Bucks,conditional 2001 2nd round pick (CHI own)
1999-0583,1999-01-22,1998-99,trade_exception,,,,Chicago Bulls,,Milwaukee Bucks,trade exception
1999-0586,1999-01-22,1998-99,player,725,Scottie Pippen,,Chicago Bulls,,Houston Rockets,
1999-0586,1999-01-22,1998-99,pick,,,,Houston Rockets,,Chicago Bulls,2000 2nd round pick (VAN own)
1999-0586,1999-01-22,1998-99,trade_exception,,,,Houston Rockets,,Chicago Bulls,trade exception
1999-0601,1999-01-21,1998-99,draft_rights,574,Mirsad Turkcan,,Houston Rockets,,Philadelphia Sixers,
1999-0601,1999-01-21,1998-99,pick,,,,Philadelphia Sixers,,Houston Rockets,2003 1st round pick (DET own)
1999-0757,1999-01-21,1998-99,draft_rights,567,Bonzi Wells,,Detroit Pistons,,Portland Trail Blazers,
1999-0757,1999-01-21,1998-99,pick,,,,Portland Trail Blazers,,Detroit Pistons,conditional 1999 1st round pick (POR own)
1999-0757,1999-01-21,1998-99,pick,,,,Portland Trail Blazers,,Detroit Pistons,2000 2nd round pick (POR own)
1999-0758,1999-01-21,1998-99,pick,,,,Denver Nuggets,,Orlando Magic,1999 1st round pick (DEN own)
1999-0758,1999-01-21,1998-99,player,593,Johnny Taylor,,Orlando Magic,,Denver Nuggets,
1999-0758,1999-01-21,1998-99,draft_rights,569,Keon Clark,,Orlando Magic,,Denver Nuggets,
1999-0759,1999-01-21,1998-99,player,1229,Jim McIlvaine,,Seattle SuperSonics,,New Jersey Nets,
1999-0759,1999-01-21,1998-99,player,1354,Michael Cage,,New Jersey Nets,,Seattle SuperSonics,
1999-0759,1999-01-21,1998-99,player,1260,Don MacLean,,New Jersey Nets,,Seattle SuperSonics,
1999-0760,1999-01-21,1998-99,player,1303,Steve Kerr,,Chicago Bulls,,San Antonio Spurs,
1999-0760,1999-01-21,1998-99,player,1273,Chuck Person,,San Antonio Spurs,,Chicago Bulls,
1999-0760,1999-01-21,1998-99,pick,,,,San Antonio Spurs,,Chicago Bulls,conditional 2000 1st round pick (SAN own)
1999-0760,1999-01-21,1998-99,trade_exception,,,,Chicago Bulls,,San Antonio Spurs,trade exception
1999-0763,1999-01-21,1998-99,player,977,Latrell Sprewell,,Golden State Warriors,,New York Knicks,
1999-0763,1999-01-21,1998-99,player,1256,Terry Cummings,,New York Knicks,,Golden State Warriors,
1999-0763,1999-01-21,1998-99,player,851,Chris Mills,,New York Knicks,,Golden State Warriors,
1999-0763,1999-01-21,1998-99,player,1239,John Starks,,New York Knicks,,Golden State Warriors,
1999-0763,1999-01-21,1998-99,trade_exception,,,,Golden State Warriors,,New York Knicks,trade exception
1999-0764,1999-01-21,1998-99,player,625,Travis Knight,,Boston Celtics,,Los Angeles Lakers,
1999-0764,1999-01-21,1998-99,player,584,Tony Battie,,Los Angeles Lakers,,Boston Celtics,
1999-0765,1999-01-21,1998-99,player,197,Chauncey Billups,,Toronto Raptors,,Denver Nuggets,
1999-0765,1999-01-21,1998-99,draft_rights,1341,Tyson Wheeler,,Toronto Raptors,,Denver Nuggets,
1999-0765,1999-01-21,1998-99,player,1215,Dean Garrett,,Denver Nuggets,,Minnesota Timberwolves,
1999-0765,1999-01-21,1998-99,player,174,Bobby Jackson,,Denver Nuggets,,Minnesota Timberwolves,
1999-0765,1999-01-21,1998-99,player,1469,Micheal Williams,,Minnesota Timberwolves,,Toronto Raptors,
1999-0765,1999-01-21,1998-99,draft_rights,724,Zeljko Rebraca,,Minnesota Timberwolves,,Toronto Raptors,
1999-0765,1999-01-21,1998-99,pick,,,,Denver Nuggets,,Toronto Raptors,1999 1st round pick (DEN own)
1999-0765,1999-01-21,1998-99,pick,,,,Minnesota Timberwolves,,Toronto Raptors,2000 1st round pick (MIN own)
2000-0019,2000-06-29,1999-00,player,617,John Wallace,,New York Knicks,,Dallas Mavericks,
2000-0019,2000-06-29,1999-00,draft_rights,537,Donnell Harvey,,New York Knicks,,Dallas Mavericks,
2000-0019,2000-06-29,1999-00,player,708,Erick Strickland,,Dallas Mavericks,,New York Knicks,
2000-0019,2000-06-29,1999-00,draft_rights,667,Pete Mickeal,,Dallas Mavericks,,New York Knicks,
2000-0020,2000-06-29,1999-00,draft_rights,1161,Cory Hightower,,San Antonio Spurs,,Los Angeles Lakers,
2000-0020,2000-06-29,1999-00,pick,,,,Los Angeles Lakers,,San Antonio Spurs,2001 2nd round pick (LAL own)
2000-0020,2000-06-29,1999-00,pick,,,,Los Angeles Lakers,,San Antonio Spurs,2002 2nd round pick (LAL own)
2000-0021,2000-06-29,1999-00,draft_rights,666,Josip Sesar,,Seattle SuperSonics,,Boston Celtics,
2000-0021,2000-06-29,1999-00,pick,,,,Boston Celtics,,Seattle SuperSonics,2001 2nd round pick (BOS own)
2000-0021,2000-06-29,1999-00,pick,,,,Boston Celtics,,Seattle SuperSonics,2001 2nd round pick (DEN own)
2000-0022,2000-06-29,1999-00,player,722,Sean Rooks,,Dallas Mavericks,,Los Angeles Clippers,
2000-0022,2000-06-29,1999-00,player,1254,Eric Murdock,,Los Angeles Clippers,,Dallas Mavericks,
2000-0022,2000-06-29,1999-00,pick,,,,Los Angeles Clippers,,Dallas Mavericks,2000 2nd round pick (CHI own)
2000-0023,2000-06-29,1999-00,draft_rights,528,Joel Przybilla,,Houston Rockets,,Milwaukee Bucks,
2000-0023,2000-06-29,1999-00,draft_rights,535,Jason Collier,,Milwaukee Bucks,,Houston Rockets,
2000-0023,2000-06-29,1999-00,pick,,,,Milwaukee Bucks,,Houston Rockets,conditional 2001 1st round pick (MIL own)
2000-0024,2000-06-29,1999-00,draft_rights,534,Courtney Alexander,,Orlando Magic,,Dallas Mavericks,
2000-0024,2000-06-29,1999-00,pick,,,,Dallas Mavericks,,Orlando Magic,2000 2nd round pick (CHI own)
2000-0024,2000-06-29,1999-00,pick,,,,Dallas Mavericks,,Orlando Magic,2001 1st round pick (DAL own)
2000-0024,2000-06-29,1999-00,cash,,,,Dallas Mavericks,,Orlando Magic,cash
2000-0025,2000-06-29,1999-00,pick,,,,Los Angeles Clippers,,Orlando Magic,conditional 2001 1st round pick (LAC own)
2000-0025,2000-06-29,1999-00,player,550,Corey Maggette,,Orlando Magic,,Los Angeles Clippers,
2000-0025,2000-06-29,1999-00,player,1221,Derek Strong,,Orlando Magic,,Los Angeles Clippers,
2000-0025,2000-06-29,1999-00,draft_rights,527,Keyon Dooling,,Orlando Magic,,Los Angeles Clippers,
2000-0025,2000-06-29,1999-00,pick,,,,Orlando Magic,,Los Angeles Clippers,2000 2nd round pick (CHI own)
2000-0025,2000-06-29,1999-00,cash,,,,Orlando Magic,,Los Angeles Clippers,cash
2000-0025,2000-06-29,1999-00,trade_exception,,,,Los Angeles Clippers,,Orlando Magic,trade exception
2000-0026,2000-06-29,1999-00,draft_rights,531,Chris Mihm,,Chicago Bulls,,Cleveland Cavaliers,
2000-0026,2000-06-29,1999-00,draft_rights,162,Jamal Crawford,,Cleveland Cavaliers,,Chicago Bulls,
2000-0026,2000-06-29,1999-00,cash,,,,Cleveland Cavaliers,,Chicago Bulls,cash
2000-0027,2000-06-29,1999-00,draft_rights,660,Dan Langhi,,Dallas Mavericks,,Houston Rockets,
2000-0027,2000-06-29,1999-00,draft_rights,664,Eduardo Najera,,Houston Rockets,,Dallas Mavericks,
2000-0027,2000-06-29,1999-00,pick,,,,Houston Rockets,,Dallas Mavericks,2001 2nd round pick (HOU own)
2000-0029,2000-06-27,1999-00,player,995,Voshon Lenard,,Miami Heat,,Denver Nuggets,
2000-0029,2000-06-27,1999-00,player,707,Mark Strickland,,Miami Heat,,Denver Nuggets,
2000-0029,2000-06-27,1999-00,player,1245,Chris Gatling,,Denver Nuggets,,Miami Heat,
2000-0029,2000-06-27,1999-00,pick,,,,Denver Nuggets,,Miami Heat,2000 2nd round pick (CLE own)
2000-0030,2000-06-27,1999-00,player,1206,J.R. Reid,,Milwaukee Bucks,,Cleveland Cavaliers,
2000-0030,2000-06-27,1999-00,player,564,Robert Traylor,,Milwaukee Bucks,,Cleveland Cavaliers,
2000-0030,2000-06-27,1999-00,player,636,Bob Sura,,Cleveland Cavaliers,,Golden State Warriors,
2000-0030,2000-06-27,1999-00,player,1270,Vinny Del Negro,,Milwaukee Bucks,,Golden State Warriors,
2000-0030,2000-06-27,1999-00,player,634,Jason Caffey,,Golden State Warriors,,Milwaukee Bucks,
2000-0030,2000-06-27,1999-00,player,729,Billy Owens,,Golden State Warriors,,Milwaukee Bucks,
2000-0110,2000-02-25,1999-00,player,754,Anthony Johnson,,Atlanta Hawks,,Orlando Magic,
2000-0110,2000-02-25,1999-00,pick,,,,Orlando Magic,,Atlanta Hawks,2000 2nd round pick (ORL own)
2000-0110,2000-02-25,1999-00,trade_exception,,,,Orlando Magic,,Atlanta Hawks,trade exception
2000-0123,2000-02-16,1999-00,player,1025,Toni Kukoc,,Chicago Bulls,,Philadelphia Sixers,
2000-0123,2000-02-16,1999-00,player,209,Larry Hughes,,Philadelphia Sixers,,Golden State Warriors,
2000-0123,2000-02-16,1999-00,player,729,Billy Owens,,Philadelphia Sixers,,Golden State Warriors,
2000-0123,2000-02-16,1999-00,player,270,Bruce Bowen,,Philadelphia Sixers,,Chicago Bulls,
2000-0123,2000-02-16,1999-00,player,1239,John Starks,,Golden State Warriors,,Chicago Bulls,
2000-0123,2000-02-16,1999-00,pick,,,,Golden State Warriors,,Chicago Bulls,conditional 2000 1st round pick (WAS own)
2000-0129,2000-02-09,1999-00,player,588,Danny Fortson,,Boston Celtics,,Toronto Raptors,
2000-0129,2000-02-09,1999-00,player,739,Sean Marks,,Toronto Raptors,,Boston Celtics,
2000-0129,2000-02-09,1999-00,player,1008,Alvin Williams,,Toronto Raptors,,Boston Celtics,
2000-0129,2000-02-09,1999-00,cash,,,,Toronto Raptors,,Boston Celtics,cash
2000-0141,2000-02-01,1999-00,player,197,Chauncey Billups,,Denver Nuggets,,Orlando Magic,
2000-0141,2000-02-01,1999-00,player,585,Ron Mercer,,Denver Nuggets,,Orlando Magic,
2000-0141,2000-02-01,1999-00,player,593,Johnny Taylor,,Denver Nuggets,,Orlando Magic,
2000-0141,2000-02-01,1999-00,player,589,Tariq Abdul-Wahad,,Orlando Magic,,Denver Nuggets,
2000-0141,2000-02-01,1999-00,player,1245,Chris Gatling,,Orlando Magic,,Denver Nuggets,
2000-0141,2000-02-01,1999-00,pick,,,,Orlando Magic,,Denver Nuggets,2001 1st round pick (ORL own)
2000-0141,2000-02-01,1999-00,cash,,,,Orlando Magic,,Denver Nuggets,cash
2000-0141,2000-02-01,1999-00,trade_exception,,,,Denver Nuggets,,Orlando Magic,trade exception
2000-0141,2000-02-01,1999-00,trade_exception,,,,Orlando Magic,,Denver Nuggets,trade exception
2000-0172,2000-01-19,1999-00,player,1283,Dale Ellis,,Milwaukee Bucks,,Charlotte Hornets (1988),
2000-0172,2000-01-19,1999-00,pick,,,,Charlotte Hornets (1988),,Milwaukee Bucks,2000 2nd round pick (CHA own)
2000-0172,2000-01-19,1999-00,pick,,,,Charlotte Hornets (1988),,Milwaukee Bucks,2002 2nd round pick (CHA own)
2000-0172,2000-01-19,1999-00,trade_exception,,,,Charlotte Hornets (1988),,Milwaukee Bucks,trade exception
2000-0619,1999-10-02,1999-00,player,725,Scottie Pippen,,Houston Rockets,,Portland Trail Blazers,
2000-0619,1999-10-02,1999-00,player,1129,Stacey Augmon,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,player,592,Kelvin Cato,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,player,596,Ed Gray,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,player,1220,Carlos Rogers,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,player,715,Brian Shaw,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,player,711,Walt Williams,,Portland Trail Blazers,,Houston Rockets,
2000-0619,1999-10-02,1999-00,trade_exception,,,,Portland Trail Blazers,,Houston Rockets,trade exception
2000-0664,1999-09-29,1999-00,player,594,Chris Anstey,,Dallas Mavericks,,Chicago Bulls,
2000-0664,1999-09-29,1999-00,pick,,,,Chicago Bulls,,Dallas Mavericks,2000 2nd round pick (CHI own)
2000-0664,1999-09-29,1999-00,trade_exception,,,,Chicago Bulls,,Dallas Mavericks,trade exception
2000-0678,1999-09-23,1999-00,player,1254,Eric Murdock,,New Jersey Nets,,Los Angeles Clippers,
2000-0678,1999-09-23,1999-00,player,955,Johnny Newman,,Los Angeles Clippers,,New Jersey Nets,
2000-0678,1999-09-23,1999-00,trade_exception,,,,Los Angeles Clippers,,New Jersey Nets,trade exception
2000-0684,1999-09-22,1999-00,draft_rights,688,Laron Profit,,Orlando Magic,,Washington Wizards,
2000-0684,1999-09-22,1999-00,pick,,,,Washington Wizards,,Orlando Magic,2001 2nd round pick (WAS own)
2000-0689,1999-09-21,1999-00,player,1253,Derek Harper,,Los Angeles Lakers,,Detroit Pistons,
2000-0689,1999-09-21,1999-00,draft_rights,850,Melvin Levett,,Detroit Pistons,,Los Angeles Lakers,
2000-0689,1999-09-21,1999-00,trade_exception,,,,Detroit Pistons,,Los Angeles Lakers,trade exception
2000-0735,1999-09-01,1999-00,player,1225,A.C. Green,,Dallas Mavericks,,Los Angeles Lakers,
2000-0735,1999-09-01,1999-00,player,722,Sean Rooks,,Los Angeles Lakers,,Dallas Mavericks,
2000-0735,1999-09-01,1999-00,pick,,,,Los Angeles Lakers,,Dallas Mavericks,2000 2nd round pick (LAL own)
2000-0744,1999-08-27,1999-00,player,1359,Lee Mayberry,,Vancouver Grizzlies,,Orlando Magic,
2000-0744,1999-08-27,1999-00,player,1205,Makhtar N'Diaye,,Vancouver Grizzlies,,Orlando Magic,
2000-0744,1999-08-27,1999-00,player,600,Rodrick Rhodes,,Vancouver Grizzlies,,Orlando Magic,
2000-0744,1999-08-27,1999-00,player,656,Michael Smith,,Vancouver Grizzlies,,Orlando Magic,
2000-0744,1999-08-27,1999-00,player,1260,Don MacLean,,Orlando Magic,,Houston Rockets,
2000-0744,1999-08-27,1999-00,player,733,Tony Massenburg,,Vancouver Grizzlies,,Houston Rockets,
2000-0744,1999-08-27,1999-00,draft_rights,179,Steve Francis,,Vancouver Grizzlies,,Houston Rockets,
2000-0744,1999-08-27,1999-00,pick,,,,Orlando Magic,,Houston Rockets,2001 1st round pick (NYK own)
2000-0744,1999-08-27,1999-00,player,1112,Antoine Carr,,Houston Rockets,,Vancouver Grizzlies,
2000-0744,1999-08-27,1999-00,player,570,Michael Dickerson,,Houston Rockets,,Vancouver Grizzlies,
2000-0744,1999-08-27,1999-00,player,316,Othella Harrington,,Houston Rockets,,Vancouver Grizzlies,
2000-0744,1999-08-27,1999-00,player,992,Brent Price,,Houston Rockets,,Vancouver Grizzlies,
2000-0744,1999-08-27,1999-00,pick,,,,Orlando Magic,,Vancouver Grizzlies,2002 2nd round pick (ORL own)
2000-0744,1999-08-27,1999-00,pick,,,,Houston Rockets,,Vancouver Grizzlies,2003 1st round pick (HOU own)
2000-0744,1999-08-27,1999-00,trade_exception,,,,Orlando Magic,,,trade exception
2000-0744,1999-08-27,1999-00,trade_exception,,,,,,Houston Rockets,trade exception
2000-0744,1999-08-27,1999-00,trade_exception,,,,,,Vancouver Grizzlies,trade exception
2000-0764,1999-08-19,1999-00,player,1283,Dale Ellis,,Orlando Magic,,Milwaukee Bucks,
2000-0764,1999-08-19,1999-00,player,847,Danny Manning,,Orlando Magic,,Milwaukee Bucks,
2000-0764,1999-08-19,1999-00,player,1245,Chris Gatling,,Milwaukee Bucks,,Orlando Magic,
2000-0764,1999-08-19,1999-00,player,1241,Armen Gilliam,,Milwaukee Bucks,,Orlando Magic,
2000-0764,1999-08-19,1999-00,trade_exception,,,,Milwaukee Bucks,,Orlando Magic,trade exception
2000-0781,1999-08-13,1999-00,player,729,Billy Owens,,Orlando Magic,,Philadelphia Sixers,
2000-0781,1999-08-13,1999-00,player,1368,Harvey Grant,,Philadelphia Sixers,,Orlando Magic,
